"hb_author";"hb_university";"hb_age";"hb_subject";"hb_age_today";"hb_bwl2014_u40_rank";"hb_bwl2014_u40_score";"hb_bwl2014_lw_rank";"hb_bwl2014_lw_score";"hb_bwl2014_cr_rank";"hb_bwl2014_cr_score";"hb_vwl2013_u40_rank";"hb_vwl2013_u40_score";"hb_vwl2013_cr_rank";"hb_vwl2013_cr_score";"hb_vwl2013_lw_rank";"hb_vwl2013_lw_score";"hb_bwl2012_u40_rank";"hb_bwl2012_u40_score";"hb_bwl2012_cr_rank";"hb_bwl2012_cr_score";"hb_bwl2012_lw_rank";"hb_bwl2012_lw_score";"hb_vwl2011_u40_rank";"hb_vwl2011_u40_score";"hb_vwl2011_cr_rank";"hb_vwl2011_cr_score";"hb_vwl2011_lw_rank";"hb_vwl2011_lw_score";"hb_vwl2010_u40_rank";"hb_vwl2010_u40_score";"hb_vwl2010_cr_rank";"hb_vwl2010_cr_score";"hb_vwl2010_lw_rank";"hb_vwl2010_lw_score";"hb_bwl2009_u40_rank";"hb_bwl2009_u40_score";"hb_bwl2009_cr_rank";"hb_bwl2009_cr_score";"hb_bwl2009_lw_rank";"hb_bwl2009_lw_score";"rp_rank";"rp_author";"rp_score";"rp_aabs.views_rank";"rp_aabs.views_score";"rp_abs.views_rank";"rp_abs.views_score";"rp_ad.cites_rank";"rp_ad.cites_score";"rp_adown.loads_rank";"rp_adownloads_score";"rp_adsc.cites_rank";"rp_adsc.cites_score";"rp_affiliation";"rp_anb.cites_rank";"rp_anb.cites_score";"rp_anb.pages_rank";"rp_anb.pages_score";"rp_anb.works_rank";"rp_anb.works_score";"rp_asc.cites_rank";"rp_asc.cites_score";"rp_asc.pages_rank";"rp_asc.pages_score";"rp_asc.works_rank";"rp_asc.works_score";"rp_awdsc.cites_rank";"rp_awdsch.cites_score";"rp_awsc.cites_rank";"rp_awsc.cites_score";"rp_awsc.pages_rank";"rp_awsc.pages_score";"rp_awsc.works_rank";"rp_awsc.works_score";"rp_bet.weenn_rank";"rp_between_score";"rp_close_rank";"rp_close_score";"rp_d.cites_rank";"rp_d.cites_score";"rp_dnb.works_rank";"rp_dnb.works_score";"rp_down.loads_rank";"rp_downloads_score";"rp_dsc.cites_rank";"rp_dsc.cites_score";"rp_h.index_rank";"rp_h.index_score";"rp_nb.cites_rank";"rp_nb.cites_score";"rp_nb.pages_rank";"rp_nb.pages_score";"rp_nb.works_rank";"rp_nb.works_score";"rp_ncau.thors_rank";"rp_ncauthors_score";"rp_nep.cites_rank";"rp_nep.cites_score";"rp_rcau.thors_rank";"rp_rcauthors_score";"rp_sc.cites_rank";"rp_sc.cites_score";"rp_sc.pages_rank";"rp_sc.pages_score";"rp_sc.works_rank";"rp_sc.works_score";"rp_stu.dents_rank";"rp_students_score";"rp_wdsc.cites_rank";"rp_wdsc.cites_score";"rp_wsc.cites_rank";"rp_wsc.cites_score";"rp_wsc.pages_rank";"rp_wsc.pages_score";"rp_wsc.works_rank";"rp_wsc.works_score";"gs_id";"gs_author";"gs_affiliation";"gs_total_cites";"gs_h_index";"gs_i_index";"gs_fields";"gs_citation_2015";"gs_citation_2014";"gs_citation_2013";"gs_citation_2012";"gs_citation_2011";"gs_citation_2010";"gs_citation_2009";"gs_citation_2008";"gs_citation_2007";"rp_age_estimated";"age_combined";"subject_fields";"hb_comonscores"
"Gunther Friedl";"M¸nchen TU";37;"Rechnungswesen & Controlling";43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;2,32;173;1,58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37;"M";NA
"G¸nther Gebhardt";"Frankfurt / Main Uni";66;"Rechnungswesen & Controlling, Internationales Management, Bankbetriebslehre & Finanzierung";67;NA;NA;199;4,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;169;4,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;173;3,66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;"M";18,8957596834371
"G¸nther Z‰pfel";"Linz Uni";NA;"Produktion, Logistik";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78;6,78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;91;5,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"L";NA
"Hannes Leeb";"Wien Uni";NA;"Statistik";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;291;3,42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SzbjNKMAAAAJ";"Hannes Leeb";NA;1254;16;21;NA;36;192;145;130;110;99;125;81;48;NA;NA;"C";11,3723008373538
"Hans-Georg Gem¸nden";"Berlin TU";NA;"Technologie- und Inno≠vationsmanagement";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;2,5;28;9,04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Hans-Joachim Voth";"Z¸rich Uni";47;"Wirtschaftsgeschichte";47;NA;NA;NA;NA;NA;NA;NA;NA;65;2,48;91;6,66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1106;"Hans-Joachim Voth ";1071,88;838;NA;601;NA;2063;NA;1158;NA;1403;NA;"UBS International Center of Economics in Society, Institut f¸r Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakut‰t, Universit‰t Z¸rich, Z¸rich, Switzerland, Wirtschaftswissenschaftliche Fakut‰t, Universit‰t Z¸rich, Z¸rich, Switzerland";2883;NA;1314;NA;1048;NA;1945;NA;648;NA;497;NA;1275;NA;1782;NA;600;NA;527;NA;1101;NA;2424;NA;2362;NA;1409;NA;506;NA;1613;NA;2391;NA;3335;NA;1500;NA;759;NA;2877;NA;1029;NA;2844;NA;2258;NA;752;NA;565;NA;813;NA;1449;NA;2080;NA;704;NA;596;NA;"akHj7B0AAAAJ";"Hans-Joachim Voth";"Economics Department and UBS Center";2474;29;46;"economic growth and development, economic history, financial history, cultural economics, sovereign debt";93;458;343;257;249;188;165;143;100;47;47;"N";9,12647877636957
"Hans-Otto G¸nther";"Seoul National University";66;"Produktion";67;NA;NA;46;9,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;7,42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;2,32;44;7,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;"L";32,0051677608308
"Hans-Ulrich K¸pper";"M¸nchen LMU";64;"Rechnungswesen & Controlling, Produktion";70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;6,69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;186;1,5;77;5,95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;"M";NA
"Hans-Werner Sinn";"M¸nchen LMU";67;"Finanzwissenschaft";67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;16,43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;15,64;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;84;"Hans-Werner Sinn ";88,35;164;4670,47;158;8126;220;372,68;283;931,81;442;615,27;"ifo Leibniz-Institut f¸r Wirtschaftsforschung an der Universit‰t M¸nchen e.V., M¸nchen, Germany";222;2204,19;23;2155,89;18;310,73;457;14622,1;844;10162,79;115;3111,24;525;122,94;562;620,22;1242;385,05;175;140,36;43;26,78;15;4,29;386;443,63;9;380;396;1470;738;722,35;186;27;371;2555;9;3826;9;559;454;1237;383;87,5;467;955,21;725;16445,7;1243;12211,8;174;3667,58;181;179,67;852;144,98;853;693,75;1647;458,53;300;161,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67;67;"G";16,43
"Hans Corsten";"Kaiserslautern TU";NA;"Produktion";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;114;4,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"L";NA
"Hans Gersbach";"Z¸rich ETH";55;"theoretische Makroˆkonomie; Politische ÷konomie";55;NA;NA;NA;NA;NA;NA;NA;NA;5;5,56;13;14,43;NA;NA;NA;NA;NA;NA;NA;NA;7;5,3;11;13,37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;632;"Hans Gersbach ";616,06;998;NA;1294;NA;2514;NA;965;NA;2400;NA;"CER-ETH Center of Economic Research, Department of Management, Technology and Economics (D-MTEC), Eidgenˆssische Technische Hochschule Z¸rich (ETHZ), Z¸rich, Switzerland, Institute for the Study of Labor (IZA), Bonn, Germany";2113;NA;140;NA;99;NA;2110;NA;510;NA;216;NA;2329;NA;2156;NA;605;NA;315;NA;854;NA;1359;NA;2625;NA;148;NA;1401;NA;2639;NA;1998;NA;2190;NA;177;NA;183;NA;2172;NA;839;NA;2149;NA;2297;NA;600;NA;304;NA;804;NA;2651;NA;2374;NA;750;NA;417;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56;55;"E";69,2238385219945
"Hans H. Bauer";"Mannheim Uni";62;"Marketing";68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;133;5,21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;193;1,44;66;6,37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;"M";NA
"Hans Haller";"Virginia Polytechnic Institute / Blacksburg";64;"theoretische Mikroˆkonomie; Spieltheorie";64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46;9,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;"D";25,1542945866826
"Hans Kellerer";"Graz Uni";NA;NA;NA;NA;NA;66;8,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;8,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43;7,84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"fkNuEaAAAAAJ";"Jan D. Keller";NA;4;2;11;NA;3;3;1;0;1;NA;NA;NA;NA;NA;NA;NA;32,1034716099081
"Hans Peter Gr¸ner";"Mannheim Uni";48;"Wirtschaftspolitik";48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;127;5,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92;5,22;NA;NA;NA;NA;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48;"E";5,8
"Hans Sebastian Heese";"EBS Uni";39;"Spieltheorie, Produktion, Operations Research";40;8;5,87;146;5,87;46;4,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;"C";44,0281297398959
"Hans Theo Normann";"D¸sseldorf Uni";47;"Industrieˆkonomie; Experimentelle Wirtschaftsforschung";47;NA;NA;NA;NA;NA;NA;NA;NA;116;1,94;107;6,23;NA;NA;NA;NA;NA;NA;NA;NA;30;2,91;72;5,84;NA;NA;57;2,26;81;NA;NA;NA;NA;NA;NA;NA;1948;"Hans-Theo Normann ";1850,79;2287;NA;1389;NA;2090;NA;2721;NA;2061;NA;"D¸sseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakult‰t, Heinriche-Heine-Universit‰t D¸sseldorf, D¸sseldorf, Germany";2577;NA;3566;NA;2976;NA;2680;NA;3074;NA;3042;NA;2020;NA;2630;NA;3268;NA;3394;NA;793;NA;996;NA;1217;NA;2052;NA;1703;NA;1290;NA;1447;NA;1550;NA;1781;NA;1119;NA;1627;NA;1018;NA;1724;NA;1736;NA;1906;NA;1900;NA;2018;NA;1284;NA;1737;NA;2217;NA;2286;NA;"lDz08NAAAAAJ";"Hans-Theo Normann";"University of Duesseldorf";3130;30;49;"industrial organisation, experimental economics, game theory";123;506;465;391;267;239;223;156;167;47;47;"C";29,0971440592568
"Hans U. Buhl";"Augsburg Uni";59;"Wirtschaftsinformatik & Informationsmanagement";60;NA;NA;27;11,37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;11,23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;3,07;7;12,37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;"D";11,37
"Hans Wiesmeth";"Dresden TU";61;"Umwelt- und Ressourcenˆkonomie, theoretische Mikroˆkonomie";66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;280;3,49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;164;3,69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;61;"Q";7,75902416990822
"Hans Zenger";"Charles River Associates";39;"Rechtsˆkonomie; Industrieˆkonomie; Bankbetriebslehre & Finanzierung";39;NA;NA;NA;NA;NA;NA;61;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"VTwXVpkAAAAJ";"Hans Zenger";NA;69;5;3;NA;3;13;17;13;10;4;4;2;1;NA;39;"K";5,69407900860045
"Hans Ziegler";"Passau Uni";NA;"Produktion, Logistik";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;196;4,15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;123;4,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"L";NA
"Harald Badinger";"Wien WU";41;"Bankbetriebslehre & Finanzierung";41;NA;NA;NA;NA;NA;NA;6;4,56;77;2,35;197;4,56;NA;NA;NA;NA;NA;NA;6;3,96;28;3;147;3,96;10;3,66;25;3,08;158;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41;"G";35,3716631094467
"Harald Dyckhoff";"Aachen RWTH";63;"Umweltwirtschaft / Nachhaltigkeitsmanagement, Rechnungswesen & Controlling, Produktion";64;NA;NA;36;9,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;9,43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;8,69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"zho5mcgAAAAJ";"Harald Dyckhoff";NA;4517;26;53;NA;76;283;377;341;261;308;270;263;273;NA;63;"Q";26,9318878316484
"Harald Hau";"University of Geneva";48;"Internationale ÷konomie; Finanzmarkttheorie";48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;6,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2132;"Harald Hau ";2048,03;4805;NA;4889;NA;2666;NA;5031;NA;1953;NA;"Swiss Finance Institute, GenËve/Z¸rich, Switzerland";2211;NA;2284;NA;4949;NA;1570;NA;737;NA;1484;NA;1901;NA;1540;NA;819;NA;1534;NA;3695;NA;7150;NA;2982;NA;5590;NA;4803;NA;2098;NA;2916;NA;2566;NA;2329;NA;4694;NA;2567;NA;3587;NA;2508;NA;1837;NA;813;NA;1634;NA;2360;NA;2052;NA;1814;NA;967;NA;1713;NA;"b7t-18YAAAAJ";"Harald Hau";NA;2137;19;24;"economics, NA, economics";49;242;253;199;211;180;177;157;115;49;48;"A";6,70604784177165
"Harald Hruschka";"Regensburg Uni";60;"Marketing";61;NA;NA;18;12,93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;13,03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;131;1,88;18;10,33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;"M";46,4740118288146
"Harald Uhlig";"Chicago University";54;"Wirtschaftspolitik";54;NA;NA;NA;NA;NA;NA;NA;NA;20;3,8;11;15,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;235;"Harald Uhlig ";235,85;154;4151,72;131;7090;214;432,4;74;1640,2;188;1181,81;"Department of Economics, University of Chicago, Chicago, Illinois (USA)";287;1797,67;1275;601,85;708;86,01;258;20294,2;757;10767,1;257;1983,99;174;272,04;245;1023,88;697;551,64;240;113,32;115;16,83;47;4,4;261;615,97;949;91;84;2576;254;1674,05;344;23;355;2573;1218;855;453;173;208;1871;149;91,5;217;1443,3;331;28759;847;15133,3;330;2646,79;559;564,09;237;385,58;312;1456,53;776;761,49;302;152,57;"GhxQGgoAAAAJ";"Harald Uhlig";"University of Chicago";10180;39;74;"macroeconomics, econometrics, financial economics";244;1122;1113;953;902;856;764;576;550;54;54;"E";58,1210638441953
